IssueType,PageId,PageAddress
CompanyNotFound,4,http://search.worldbank.org/wcontractawards/procdetails/OP00018428
ContractNumberNotFound,4,http://search.worldbank.org/wcontractawards/procdetails/OP00018428
CompanyStatusNotFound,6,http://search.worldbank.org/wcontractawards/procdetails/OP00019613
CompanyNotFound,7,http://search.worldbank.org/wcontractawards/procdetails/OP00025118
ContractNumberNotFound,7,http://search.worldbank.org/wcontractawards/procdetails/OP00025118
CompanyStatusNotFound,11,http://search.worldbank.org/wcontractawards/procdetails/OP00025567
CompanyNotFound,14,http://search.worldbank.org/wcontractawards/procdetails/OP00023809
ContractNumberNotFound,14,http://search.worldbank.org/wcontractawards/procdetails/OP00023809
CompanyStatusNotFound,18,http://search.worldbank.org/wcontractawards/procdetails/OP00023298
CompanyNotFound,19,http://search.worldbank.org/wcontractawards/procdetails/OP00023463
ContractNumberNotFound,19,http://search.worldbank.org/wcontractawards/procdetails/OP00023463
CompanyStatusNotFound,22,http://search.worldbank.org/wcontractawards/procdetails/OP00019829
CompanyStatusNotFound,23,http://search.worldbank.org/wcontractawards/procdetails/OP00021228
CompanyStatusNotFound,24,http://search.worldbank.org/wcontractawards/procdetails/OP00024716
CompanyNotFound,27,http://search.worldbank.org/wcontractawards/procdetails/OP00023541
ContractNumberNotFound,27,http://search.worldbank.org/wcontractawards/procdetails/OP00023541
CompanyStatusNotFound,32,http://search.worldbank.org/wcontractawards/procdetails/OP00022823
CompanyStatusNotFound,33,http://search.worldbank.org/wcontractawards/procdetails/OP00022824
CompanyStatusNotFound,34,http://search.worldbank.org/wcontractawards/procdetails/OP00024809
CompanyStatusNotFound,35,http://search.worldbank.org/wcontractawards/procdetails/OP00016837
CompanyStatusNotFound,36,http://search.worldbank.org/wcontractawards/procdetails/OP00016939
CompanyStatusNotFound,37,http://search.worldbank.org/wcontractawards/procdetails/OP00016941
CompanyStatusNotFound,38,http://search.worldbank.org/wcontractawards/procdetails/OP00016940
CompanyStatusNotFound,39,http://search.worldbank.org/wcontractawards/procdetails/OP00016942
CompanyStatusNotFound,40,http://search.worldbank.org/wcontractawards/procdetails/OP00018639
CompanyStatusNotFound,41,http://search.worldbank.org/wcontractawards/procdetails/OP00018638
CompanyStatusNotFound,42,http://search.worldbank.org/wcontractawards/procdetails/OP00018640
CompanyStatusNotFound,43,http://search.worldbank.org/wcontractawards/procdetails/OP00024952
CompanyNotFound,53,http://search.worldbank.org/wcontractawards/procdetails/OP00020369
ContractNumberNotFound,53,http://search.worldbank.org/wcontractawards/procdetails/OP00020369
CompanyNotFound,67,http://search.worldbank.org/wcontractawards/procdetails/OP00011500
ContractNumberNotFound,67,http://search.worldbank.org/wcontractawards/procdetails/OP00011500
CompanyNotFound,73,http://search.worldbank.org/wcontractawards/procdetails/OP00014203
ContractNumberNotFound,73,http://search.worldbank.org/wcontractawards/procdetails/OP00014203
CompanyNotFound,74,http://search.worldbank.org/wcontractawards/procdetails/OP00015728
ContractNumberNotFound,74,http://search.worldbank.org/wcontractawards/procdetails/OP00015728
CompanyStatusNotFound,75,http://search.worldbank.org/wcontractawards/procdetails/OP00017694
CompanyStatusNotFound,76,http://search.worldbank.org/wcontractawards/procdetails/OP00017693
CompanyStatusNotFound,77,http://search.worldbank.org/wcontractawards/procdetails/OP00017934
CompanyStatusNotFound,84,http://search.worldbank.org/wcontractawards/procdetails/OP00023311
CompanyStatusNotFound,85,http://search.worldbank.org/wcontractawards/procdetails/OP00023312
CompanyNotFound,88,http://search.worldbank.org/wcontractawards/procdetails/OP00018645
ContractNumberNotFound,88,http://search.worldbank.org/wcontractawards/procdetails/OP00018645
CompanyNotFound,89,http://search.worldbank.org/wcontractawards/procdetails/OP00020285
ContractNumberNotFound,89,http://search.worldbank.org/wcontractawards/procdetails/OP00020285
CompanyNotFound,92,http://search.worldbank.org/wcontractawards/procdetails/OP00024914
ContractNumberNotFound,92,http://search.worldbank.org/wcontractawards/procdetails/OP00024914
CompanyNotFound,93,http://search.worldbank.org/wcontractawards/procdetails/OP00024913
ContractNumberNotFound,93,http://search.worldbank.org/wcontractawards/procdetails/OP00024913
CompanyStatusNotFound,94,http://search.worldbank.org/wcontractawards/procdetails/OP00025016
CompanyStatusNotFound,99,http://search.worldbank.org/wcontractawards/procdetails/OP00023495
CompanyStatusNotFound,100,http://search.worldbank.org/wcontractawards/procdetails/OP00023895
CompanyStatusNotFound,130,http://search.worldbank.org/wcontractawards/procdetails/OP00019324
CompanyNotFound,131,http://search.worldbank.org/wcontractawards/procdetails/OP00014947
ContractNumberNotFound,131,http://search.worldbank.org/wcontractawards/procdetails/OP00014947
CompanyNotFound,132,http://search.worldbank.org/wcontractawards/procdetails/OP00015010
ContractNumberNotFound,132,http://search.worldbank.org/wcontractawards/procdetails/OP00015010
CompanyNotFound,133,http://search.worldbank.org/wcontractawards/procdetails/OP00014946
ContractNumberNotFound,133,http://search.worldbank.org/wcontractawards/procdetails/OP00014946
CompanyNotFound,134,http://search.worldbank.org/wcontractawards/procdetails/OP00020197
ContractNumberNotFound,134,http://search.worldbank.org/wcontractawards/procdetails/OP00020197
CompanyNotFound,135,http://search.worldbank.org/wcontractawards/procdetails/OP00021276
ContractNumberNotFound,135,http://search.worldbank.org/wcontractawards/procdetails/OP00021276
UnknownTableFormat,136,http://search.worldbank.org/wcontractawards/procdetails/OP00021275
UnknownTableFormat,137,http://search.worldbank.org/wcontractawards/procdetails/OP00021282
CompanyNotFound,157,http://search.worldbank.org/wcontractawards/procdetails/OP00020478
