PageId,Published,ProjectName,ProjectCountry,NoticeLanguage,ContactName,SubmissionDate,ProcurementType,MajorSector,BidReference,ProjectId,NoticeType,ContactOrganization,ContractSignatureDate,ProcurementGroup
635,41494,"PNG Road Maintenance & Rehab Project II","Papua New Guinea",English,N/A,41494,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","ICB Award",P119471,"Contract Award",Published,N/A,41655
639,41659,"PNG Road Maintenance & Rehab Project II","Papua New Guinea",English,N/A,41659,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","ICB Award",P119471,"Contract Award",Published,N/A,41655
1306,40731,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,40731,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1307,40900,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,40900,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P115634,"Contract Award",Published,N/A,41641
1308,41319,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41319,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1309,41626,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41626,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1310,41626,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41626,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
7502,41660,"VN-Rural Water Supply & Sanitation (P4R)",Vietnam,English,N/A,41660,"Audit Services","Water, sanitation and flood protection; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P127435,"Contract Award",Published,N/A,41659
7505,41665,"RY-Biogas Digesters","Yemen, Republic of",English,N/A,41665,"Project Management","Energy and mining; Agriculture, fishing, and forestry","Small Contracts Award (DIR,CQS,INDV,SSS)",P119160,"Contract Award",Revised,N/A,41648
7506,41673,"RY-Biogas Digesters","Yemen, Republic of",English,N/A,41673,"Project Management","Energy and mining; Agriculture, fishing, and forestry","Small Contracts Award (DIR,CQS,INDV,SSS)",P119160,"Contract Award",Published,N/A,41648
1,41169,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41169,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","ICB Award",P128939,"Contract Award",Published,N/A,40906
2,41169,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41169,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","ICB Award",P128939,"Contract Award",Published,N/A,40906
3,41172,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41172,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Revised,N/A,40906
4,41221,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41221,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Revised,N/A,40906
5,41547,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41547,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Published,N/A,40906
6,41306,"CN - Sichuan Small Towns Development",China,English,N/A,41306,"Construction Supervision","Water, sanitation and flood protection; Water, sanitation and flood protection; Water, sanitation and flood protection; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P110632,"Contract Award",Published,N/A,41633
7,41626," AR 2nd Norte Grande Water Infrastr.",Argentina,Spanish,N/A,41626,"Works, Infrastructure","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P125151,"Contract Award",Published,N/A,41631
8,41122,"BD: Siddhirganj Peaking Power Project",Bangladesh,English,N/A,41122,"Equipment, Industrial Plants","Energy and mining; Energy and mining; Energy and mining","ICB Award",P095965,"Contract Award",Published,N/A,40507
9,41627,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41627,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P127759,"Contract Award",Published,N/A,41626
10,41628,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41628,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P127759,"Contract Award",Published,N/A,41626
11,41656,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41656,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","Consultant Award (QCBS, QBS, FCS, LCS)",P127759,"Contract Award",Published,N/A,41626
12,41169,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41169,"Project Management","Public Administration, Law, and Justice; Transportation","ICB Award",P128940,"Contract Award",Published,N/A,41149
13,41169,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41169,"Project Management","Public Administration, Law, and Justice; Transportation","ICB Award",P128940,"Contract Award",Published,N/A,41149
14,41547,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41547,"Project Management","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128940,"Contract Award",Published,N/A,41149
15,41584,"Jakarta Urgent Flood Mitigation Project",Indonesia,English,N/A,41584,"Works, Infrastructure","Water, sanitation and flood protection","ICB Award",P111034,"Contract Award",Published,N/A,41604
16,41604,"Jakarta Urgent Flood Mitigation Project",Indonesia,English,N/A,41604,"Works, Infrastructure","Water, sanitation and flood protection","ICB Award",P111034,"Contract Award",Published,N/A,41604
